ws,ov,pos,md,wf1
100,75,L,4,0.931086657
150,25,L,4,0.920539107
150,50,L,4,0.974759400
150,75,L,4,0.956640715
50,25,L,4,0.851112734
50,50,L,4,0.841689302
50,75,L,5,0.932386874
150,25,R,4,0.820042326
100,25,R,5,0.869787690
100,50,R,5,0.870876006
100,75,R,5,0.859471146
150,50,R,5,0.850466029
150,75,R,5,0.878115331
50,25,R,5,0.816052881
50,50,R,5,0.830010419
50,75,R,5,0.825121969
100,25,C,4,0.866339742
100,50,C,4,0.877544170
100,75,C,4,0.856193656
150,25,C,4,0.856637085
150,75,C,4,0.861795951
150,50,C,4,0.875641714
50,25,C,5,0.840259331
50,50,C,5,0.825562572
50,75,C,5,0.828327009
100,25,L,4,0.934756565
100,50,L,4,0.939689410
100,75,L,4,0.926678187
150,25,L,4,0.942961021
150,50,L,4,0.939142907
150,75,L,4,0.947955124
50,25,L,4,0.852461351
50,50,L,4,0.878166900
50,75,L,5,0.910525283
150,25,R,4,0.800352409
100,25,R,5,0.877283731
100,50,R,5,0.874958702
100,75,R,5,0.866847195
150,50,R,5,0.893781306
150,75,R,5,0.884302187
50,25,R,5,0.850851706
50,50,R,5,0.803361657
50,75,R,5,0.833105815
100,25,C,4,0.856964259
100,50,C,4,0.837351955
100,75,C,4,0.870997073
150,25,C,4,0.874418881
150,75,C,4,0.879700877
150,50,C,4,0.866197892
50,25,C,5,0.858233737
50,50,C,5,0.842640595
50,75,C,5,0.845485903
100,25,L,4,0.929823292
100,50,L,4,0.930771988
100,75,L,4,0.913554652
150,25,L,4,0.951281304
150,50,L,4,0.948434393
150,75,L,4,0.946853516
50,25,L,4,0.834794398
50,50,L,4,0.839286532
50,75,L,5,0.905886804
150,25,R,4,0.782423352
100,25,R,5,0.865361043
100,50,R,5,0.849350907
100,75,R,5,0.878014365
150,50,R,5,0.854044527
150,75,R,5,0.877936343
50,25,R,5,0.825443069
50,50,R,5,0.852064288
50,75,R,5,0.832323184
100,25,C,4,0.857717792
100,50,C,4,0.856885350
100,75,C,4,0.840509675
150,25,C,4,0.877727993
150,75,C,4,0.868335126
150,50,C,4,0.856464626
50,25,C,5,0.834583444
50,50,C,5,0.833172916
50,75,C,5,0.829817629
100,25,L,4,0.929843378
100,50,L,4,0.912959791
100,75,L,4,0.941099616
150,25,L,4,0.947999921
150,50,L,4,0.955498109
150,75,L,4,0.929292623
50,25,L,4,0.879511022
50,50,L,4,0.876534139
50,75,L,5,0.914609569
150,25,R,4,0.830795704
100,25,R,5,0.869804995
100,50,R,5,0.888629807
100,75,R,5,0.857292354
150,50,R,5,0.912616323
150,75,R,5,0.894690174
50,25,R,5,0.794636845
50,50,R,5,0.827569240
50,75,R,5,0.813210782
100,25,C,4,0.852680364
100,50,C,4,0.851511996
100,75,C,4,0.853089753
150,25,C,4,0.845929648
150,75,C,4,0.874016576
150,50,C,4,0.849233776
50,25,C,5,0.833135074
50,50,C,5,0.830184871
50,75,C,5,0.819714143
100,25,L,4,0.907138645
100,50,L,4,0.925828457
100,75,L,4,0.915596567
150,25,L,4,0.958385064
150,50,L,4,0.921966217
150,75,L,4,0.947173458
50,25,L,4,0.811075051
50,50,L,4,0.869538850
50,75,L,5,0.914501281
150,25,R,4,0.827220597
100,25,R,5,0.838522059
100,50,R,5,0.824754149
100,75,R,5,0.888093130
150,50,R,5,0.884701974
150,75,R,5,0.873647245
50,25,R,5,0.791025119
50,50,R,5,0.783835024
50,75,R,5,0.810398848
100,25,C,4,0.813983225
100,50,C,4,0.870879767
100,75,C,4,0.860383351
150,25,C,4,0.830351711
150,75,C,4,0.856503990
150,50,C,4,0.846361187
50,25,C,5,0.785944203
50,50,C,5,0.830328707
50,75,C,5,0.832864099
100,25,L,4,0.934926994
100,50,L,4,0.921367457
100,75,L,4,0.944626562
150,25,L,4,0.916113567
150,50,L,4,0.941757862
150,75,L,4,0.941619781
50,25,L,4,0.861659368
50,50,L,4,0.880509724
50,75,L,5,0.920046066
150,25,R,4,0.785233925
100,25,R,5,0.851731702
100,50,R,5,0.874312964
100,75,R,5,0.864627077
150,50,R,5,0.894263618
150,75,R,5,0.880815383
50,25,R,5,0.821758448
50,50,R,5,0.796198950
50,75,R,5,0.837857471
100,25,C,4,0.869680924
100,50,C,4,0.870281173
100,75,C,4,0.840498558
150,25,C,4,0.811118450
150,75,C,4,0.770496685
150,50,C,4,0.854093918
50,25,C,5,0.823362529
50,50,C,5,0.820159237
50,75,C,5,0.830643469
100,25,L,4,0.923130324
100,50,L,4,0.936876272
100,75,L,4,0.924675865
150,25,L,4,0.922052136
150,50,L,4,0.921050021
150,75,L,4,0.941219889
50,25,L,4,0.867436975
50,50,L,4,0.844234530
50,75,L,5,0.904136710
150,25,R,4,0.809155532
100,25,R,5,0.902633253
100,50,R,5,0.852108243
100,75,R,5,0.856267625
150,50,R,5,0.887525558
150,75,R,5,0.870533488
50,25,R,5,0.828954607
50,50,R,5,0.814743835
50,75,R,5,0.826612822
100,25,C,4,0.885373518
100,50,C,4,0.836086620
100,75,C,4,0.850908643
150,25,C,4,0.868278564
150,75,C,4,0.844262427
150,50,C,4,0.874088412
50,25,C,5,0.833210998
50,50,C,5,0.834309624
50,75,C,5,0.838154947
100,25,L,4,0.920756370
100,50,L,4,0.931321621
100,75,L,4,0.921765902
150,25,L,4,0.948436320
150,50,L,4,0.926161287
150,75,L,4,0.944309776
50,25,L,4,0.835707637
50,50,L,4,0.856534414
50,75,L,5,0.921150317
150,25,R,4,0.774702386
100,25,R,5,0.875460240
100,50,R,5,0.855974807
100,75,R,5,0.880704893
150,50,R,5,0.863176498
150,75,R,5,0.879338613
50,25,R,5,0.813020547
50,50,R,5,0.824993492
50,75,R,5,0.807280868
100,25,C,4,0.859580079
100,50,C,4,0.845184203
100,75,C,4,0.816972471
150,25,C,4,0.864729243
150,75,C,4,0.883199576
150,50,C,4,0.839463704
50,25,C,5,0.843038448
50,50,C,5,0.840471263
50,75,C,5,0.829633601
100,25,L,4,0.918287489
100,50,L,4,0.918556675
100,75,L,4,0.918545575
150,25,L,4,0.938063711
150,50,L,4,0.930526988
150,75,L,4,0.937227884
50,25,L,4,0.863430067
50,50,L,4,0.870691695
50,75,L,5,0.907113814
150,25,R,4,0.818718293
100,25,R,5,0.870852691
100,50,R,5,0.901175656
100,75,R,5,0.852293556
150,50,R,5,0.889248371
150,75,R,5,0.886617328
50,25,R,5,0.817258559
50,50,R,5,0.814492659
50,75,R,5,0.825016294
100,25,C,4,0.832513522
100,50,C,4,0.839857481
100,75,C,4,0.871065963
150,25,C,4,0.905815773
150,75,C,4,0.872813634
150,50,C,4,0.823738420
50,25,C,5,0.840796635
50,50,C,5,0.827898868
50,75,C,5,0.842466883
100,25,L,4,0.943182406
100,50,L,4,0.901369381
100,75,L,4,0.931734154
150,25,L,4,0.937771504
150,50,L,4,0.939930430
150,75,L,4,0.938823505
50,25,L,4,0.870955047
50,50,L,4,0.859508965
50,75,L,5,0.916022886
150,25,R,4,0.791211251
100,25,R,5,0.876324978
100,50,R,5,0.864552591
100,75,R,5,0.851349099
150,50,R,5,0.870164265
150,75,R,5,0.888901694
50,25,R,5,0.813218453
50,50,R,5,0.842185716
50,75,R,5,0.838096669
100,25,C,4,0.846322718
100,50,C,4,0.894327568
100,75,C,4,0.859666104
150,25,C,4,0.867955629
150,75,C,4,0.837098468
150,50,C,4,0.884218057
50,25,C,5,0.826825222
50,50,C,5,0.805187484
50,75,C,5,0.834260987
100,25,L,4,0.920927444
100,50,L,4,0.953106039
100,75,L,4,0.938288895
150,25,L,4,0.950865378
150,50,L,4,0.946238519
150,75,L,4,0.944127057
50,25,L,4,0.886624506
50,50,L,4,0.870886746
50,75,L,5,0.904531700
150,25,R,4,0.777904402
100,25,R,5,0.856611606
100,50,R,5,0.852654699
100,75,R,5,0.880570065
150,50,R,5,0.869822614
150,75,R,5,0.880162378
50,25,R,5,0.817613124
50,50,R,5,0.835602768
50,75,R,5,0.818448988
100,25,C,4,0.829536745
100,50,C,4,0.819432048
100,75,C,4,0.840865744
150,25,C,4,0.876459926
150,75,C,4,0.832054888
150,50,C,4,0.883126105
50,25,C,5,0.844570355
50,50,C,5,0.842171732
50,75,C,5,0.823134920
100,25,L,4,0.931373039
100,50,L,4,0.908005278
100,75,L,4,0.917457261
150,25,L,4,0.943530194
150,50,L,4,0.960679801
150,75,L,4,0.942832163
